Problema,Algoritmo,Seed,IGD,HV
ZDT1,NSGA-II,42,0.019105697994167843,0.8433316727401604
ZDT1,NSGA-II,123,0.01705519218508915,0.8464021990597014
ZDT1,NSGA-II,456,0.01699518038714486,0.846827474174009
ZDT1,MOEA/D,42,0.020256980466140675,0.8449497986445198
ZDT1,MOEA/D,123,0.11496230460305595,0.7832669828693853
ZDT1,MOEA/D,456,0.011541828019320957,0.8557066866669203
ZDT3,NSGA-II,42,0.011893007591849773,1.2958103234559897
ZDT3,NSGA-II,123,0.01374124272891782,1.2903352409723075
ZDT3,NSGA-II,456,0.012951473671883896,1.2943110137892337
ZDT3,MOEA/D,42,0.048507429322315374,1.2454954221450216
ZDT3,MOEA/D,123,0.0250416689414154,1.2946979229716924
ZDT3,MOEA/D,456,0.055754831381771223,1.22235047144653
